tokens,label
áo đẹp,POS
tuyệt_vời quáa,POS
day ao khong_giong,NEG
mùi thơm bôi da mềm da,POS
vải đẹp dày dặn,POS
hàng đẹp chi ưng_ý,POS
chất_lượng sản_phẩm date,POS
ăn_nói thái_độ phục_vụ,POS
đóng_gói sản_phẩm,POS
tất_sờn ca vay,NEG
shop phục_vụ,POS
mặc,NEU
chất vải chê,POS
giao hàng,POS
chất_lượng sản_phẩm tuyệt_vời,POS
vải hơi thô_cứng giao hàng,POS
chất_lượng sản_phẩm đẹp_nhe shop,POS
tiền giao hàng,POS
quần đẹp mặc vặn,POS
cảm_giác mua hàng hớ tệ,NEG
mua sửa,NEG
giá sản_phẩm tạm ổn gọi_là đẹp lắm,NEU
tiền giao hàng chất_lượng sản_phẩm tuyệt_vời,POS
giá_cả chấp_nhận,POS
nchung ổn,POS
áo đẹp không đẹp may áo công_ty shop mẫu trắng mua,POS
mặc chất dày_dặn hài_lòng,POS
chất vải ok hình siu_ciu í_shop nhiệt_tình,POS
giao hàng,POS
okz shop,POS
chất_lượng sản_phẩm tuyệt_vời ủng_hộ shop,POS
chất_lượng sản_phẩm tạm vải hơi khô mỏng,POS
hàng hóa lừa_đảo,NEG
giao hàng,POS
ảnh in đẹp,POS
giá rẻ,POS
quần_áo super đẹp,POS
giao hàng nhắn_tin shop không phản_hồi,NEG
shop,POS
tuyệt_vời mua shope freship,POS
tiếc không mấy,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ giao hàng,POS
đồng_hồ mua không sử_dụg,NEG
chất mềm mịn mát,POS
giao im_re,NEG
sản phr ưng_ý,POS
mua,POS
ngực cuzng bitnhf mặc đẩy bầu ngực,NEG
quần đợt tận chất_quần đợt,POS
mua,POS
quần đẹp form,POS
chất vải xấu xù,NEG
sản_phẩm tạm hơi rộng,NEU
đẹp chất mềm_mại mặc chủ_shop nhiệt_tình chất_lượng sản_phẩm tuyệt_vời shop phục_vụ tiền giao hàng,POS
giày nhem nhuốc bẩn box nát,NEG
tiền vải không co_giãn lắm gái trở mặc,NEU
số_lượng,POS
áo y_hình chất_lượng sản_phẩm tuyệt_vời,POS
ưng_ý chất_lượng,POS
mật tủ_lạnh đóng_sệt chai không di_chuyển mật mua địa_phương,NEG
áo sờ_chất,POS
váy đẹp mặc tôn da,POS
xài hộp màu xanh không thơm,POS
giao hàng hình,POS
shop tặng bánh đôi tất_lười yêu,POS
hàng chất_lượng êm,POS
chất_lượng sản_phẩm tuyệt_vời màu không hình_minh,POS
giao hàng tâm,POS
hàng hình,POS
giao hàng chậm,NEG
áo đẹp hơi mỏng,NEU
hàng đóng_gói chất_lượng sản_phẩm,POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng bổ_re shop,POS
màn_hình to hướng_dẫn,POS
áo mỏng cụt đóng_gói sản_phẩm ok,NEG
quần kịp mặc bục đoạn,NEG
kg,NEU
mua sản_phẩm_chất ảnh gói hàng đẹp giao hàng giá_cả hợp_lý,POS
chất áo không lăn_tăn form hơi to,POS
shop quà tặng kèm thẻ_tích,POS
mạng chạy chậm,NEG
khít bụng không hằn_cấn,POS
mua,POS
chất_lượng sản_phẩm,POS
ưng_ý,POS
hàng siêu_yêu siêu_mềm mịn,POS
chất_liệu vải giá,POS
chất_lượng sản_phẩm tạm giao hàng tạm đóng_gói sản_phẩm tạm,NEU
đóng_gói kĩ_áo đẹp,POS
giao nhầm hàng nhắn_tin shop không trả_lời,NEG
màu bạc lấp_lánh màu hồng,POS
chất áo dày dặn form áo đẹp,POS
ống_quần to size,NEG
đóng_gói gọn_gàng đẹp_đẽ chất_lượng sản_phẩm tuyệt_vời tiền giao hàng,POS
chất_lượng sản_phẩm tương_xứng giá tiền mua mặc kiểu ok,POS
ốc hơi lỏng vặn vít không quý dây kia,NEU
shop phục_vụ mẫu gọi đổi giá giá giảm_giá hàng ok shop,POS
ren hơi mềm làm_dáng áo không cứng nâng ngực tạm,POS
giao hàng,NEG
size khung ngực,NEG
đóng_gói sản_phẩm đẹp,POS
hàng y_hình đẹp,POS
thái_đô kém giao hàng chậm_shop phục_vụ kém,NEG
bàn_tay mỏng không nâng lắm,NEG
đẹp lắm,POS
áo hình_chất vải hơi nóng,POS
đóng gỏi không cẩn_thận shop đong hộp cứng_đỡ móp bẹp túi,NEG
giao hàng mua sản_phẩm kĩ thất_vọng,NEU
đóng_gói sản_phẩm đẹp,POS
giao hàng nhanh_dầy dặn đẹp,POS
giống_hình vải mỏng không hình giá tiền tương_đương sản_phẩm,NEG
chủ shop tư_vấn nhiệt_tình đầm form đẹp_hợp dáng tặng kèm qà,POS
váy đẹp chuẩn hình,POS
size xanh hồng không,NEG
áo rẻ đẹp giá tiền,POS
áo vải cực đẹp y_hình to mong_đợi,POS
chất_lượng sản_phẩm tuyệt_vời đồ đẹp ủng_hộ shop tiếp,POS
sản phản_mới chất_lượng sản_phẩm tuyệt_vời,POS
giao hàng,POS
chất_lượng xé khô,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm đẹp shop phục_vụ tiền giao hàng,POS
chất ok_á trả_lời nhắn_tin hơi,POS
ủng_hộ shop,POS
âm_thanh dở,NEG
xấu phom áo chán đời,NEG
chất_lượng sản_phẩm đồng_tiền,POS
chuẩn quần vải đẹp ôm gọn chân vải mát,POS
shop vận_chuyển hàng nhanh_váy ổn mà_còn tặng quà hihi lắc nhỏ_nhỏ xinh_xinh đeo bé,POS
áo cũ màu không đẹp vãi mỏng không đág tiền lắm,NEG
đập mắt mất_hứng sản_phẩm màu đậm hình_áo mùi thuốc tẩy_giặt mãi không,NEG
chuẩn hàng bitis,POS
màu không đẹp hình chup,NEG
hàng đẹp giao,POS
chất_lượng sản_phẩm tuyệt_vời vải ok thích_hợp form rộng lắm nè,POS
hợp giá,POS
